coin,market cap,fd market cap,price,avail coins,total coins,traded volume
Algorand,2.450B,8.032B,0.80,3.051B,10.000B,369.303M
Cosmos,2.444B,3.115B,11.60,210.767M,268.552M,630.158M
IOTA,2.428B,2.428B,0.87,2.780B,2.780B,178.239M
Crypto.com Coin,2.350B,2.815B,0.09,25.263B,30.263B,93.698M
Huobi Token,2.171B,6.201B,12.40,175.074M,500.000M,1.408B
Kusama,2.140B,2.438B,252.63,8.470M,9.651M,435.912M
BitTorrent,2.091B,3.136B,0.00,659.953B,990.000B,811.034M
TerraUSD,2.080B,2.080B,1.00,2.074B,2.074B,249.008M
PancakeSwap,2.019B,2.019B,12.24,164.900M,164.900M,476.788M
Avalanche,1.972B,10.996B,15.27,129.137M,720.000M,228.095M
THORChain,1.876B,3.894B,7.79,240.897M,500.000M,254.854M
Hedera Hashgraph,1.851B,10.980B,0.22,8.430B,50.000B,427.871M
Bitcoin BEP2,1.845B,2.010B,33787.05,54.598K,59.501K,209.786M
Compound,1.702B,3.272B,327.21,5.203M,10.000M,363.076M
LUNA,1.655B,4.116B,4.26,388.328M,966.002M,608.829M
Waves,1.512B,1.512B,14.37,105.181M,105.181M,228.639M
Dash,1.475B,2.748B,145.41,10.144M,18.900M,1.060B
Elrond,1.442B,2.587B,82.36,17.506M,31.416M,128.659M
Celsius,1.440B,4.194B,6.03,238.864M,695.658M,39.634M
Paxos Standard Token,1.402B,1.402B,1.00,1.399B,1.399B,96.326M
Synthetix Network Token,1.314B,2.431B,11.44,114.842M,212.424M,269.379M
Zcash,1.302B,2.311B,110.05,11.834M,21.000M,844.456M
Decred,1.298B,2.105B,100.24,12.954M,21.000M,62.662M
Theta Fuel,1.283B,1.283B,0.24,5.301B,5.301B,49.338M
Creditcoin,1.216B,4.306B,2.15,564.971M,2.000B,8.955M
Telcoin,1.204B,2.320B,0.02,51.884B,100.000B,89.528M
Chiliz,1.193B,1.829B,0.21,5.800B,8.889B,375.876M
yearn.finance,1.177B,1.178B,32117.28,36.635K,36.666K,807.287M
TrueUSD,1.128B,1.128B,1.00,1.126B,1.126B,241.192M
SushiSwap,1.116B,2.193B,8.77,127.244M,250.000M,1.635B
DeFiChain,1.094B,3.131B,2.61,419.297M,1.200B,3.980M
Pirate Chain,1.056B,1.162B,5.81,181.745M,200.000M,4.956M
